Movie Name,Username,Review,Rating
Reviews ofAgak Laen2024,Anonymous,circles full of agak laeeen people,4
Reviews ofAgak Laen2024,Anonymous,karma is real,3.5
Reviews ofAgak Laen2024,Anonymous,IF COMEDY HAD A FINAL BOSS THIS WOULD BE IT,4
Reviews ofAgak Laen2024,Anonymous,watched twice di bioskop and would watch it again:D,5
Reviews ofAgak Laen2024,Anonymous,nonton sama racha & bora RECEH BGT ANJ😭,4
Reviews ofAgak Laen2024,Anonymous,Fun but not many thing I can talk about,3.5
Reviews ofAgak Laen2024,Anonymous,That’s how you do horror comedy right!,4.5
Reviews ofAgak Laen2024,Anonymous,HAHAHAHAH,5
Reviews ofAgak Laen2024,Anonymous,best indonesia horror-comedy movie so far. you’ll get never stop laughing experience through this movie,4
Reviews ofAgak Laen2024,Anonymous,orang-orang bilang gue akan ketawa mampus nonton ini karena jokesnya lucu…sayang banget ternyata ekspetasi gue yang ketinggian (jokes gue emg mahal sih),3
Reviews ofAgak Laen2024,Anonymous,komedinya dapet tegangnya juga dapet,3.5
Reviews ofAgak Laen2024,Anonymous,"AGAK LAEN | 2024- ⭐ 9.5/10""Kau kira gampang buka rumah hantu? Setan asli aja susah cari kerja sekarang!""📝 Review Singkat:Film 'Agak Laen' ini beneran agak Laen, semua genre di film ini ada. Horor- komedi jelass ada, friendship jangan diragukan, Drama adaa juga, Slice of Life pun ada. Fyi aku orang yang jarang nonton film komedi Indonesia, Dann menurutku ini film indo ini sihthe best film comedy.🎭 Mood setelah nonton: 😂🤣😢🔄 Rewatch Value: Bakal nonton lagiii📌 3 Kata untuk Film Ini:Ngakak, Kocak, Solid",4.5
Reviews ofAgak Laen2024,Anonymous,"cukup menghibur ini lucu sih direkomen sama juju, trs langsung nonton bareng cece and nia. agak sad juga mamae okinya mati, tapi kayak bisa diambil moralnya. dalam melakukan sesuatu, harus dipikirkan akibatnya sejauh mungkin. nia ketakutan lol, menurutku gak ada horrornya sih soalnya gak ada jumpscarenya.note: bedak cece ceblok lollies.",4
Reviews ofAgak Laen2024,Anonymous,ada bloopers,3
Reviews ofAgak Laen2024,Anonymous,"w suka karena gx terlalu horror, malah menurut w gx horror😇",4
Reviews ofAgak Laen2024,Anonymous,mghibur tpi yaudalahya,3
Reviews ofAgak Laen2024,Anonymous,not ur typical horror film,4
Reviews ofAgak Laen2024,Anonymous,awalnya iseng nonton pas sleepover sama temen but didn't expect it would be so good? film komedi favorit aku sih <3,5
Reviews ofAgak Laen2024,Anonymous,lucu parah sihh,3.5
Reviews ofAgak Laen2024,Anonymous,"Eh kangen bangettt, aku kangen adore bene dion dan nontonin youtube agak laen sampe ketiduran. KANGENNN BANGETTT, 3rd times watch. 1st with my shaylas (dang full time laughing), 2nd abis kelar event UJAN UJANAN mana gak pinter nyebrang, now 3rd (maaf gajago rewatch jadi sanggup ngeliat beberapa scene saja). Kangen kangen kangennn. Ke danau toba ke danau toba hore! Hore! Horee!~~~",4
Reviews ofAgak Laen2024,Anonymous,Lucu bangettttt,5
Reviews ofAgak Laen2024,Anonymous,"Imajinari jadi rumah produksi yang pantas unjuk gigi setelah beberapa film-filmnya laris manis di pasaran, dan itu bukan sekedar gimmick doang.Satu hal yang terlintas di benak gw, kok bisa yaa orang bikin film tentang pasar malam dan hantu. Ide yang sebetulnya jarang banget ditemuin di film-film Indo lain. Kejeniusannya ngerakit ide sederhana ini dengan isu-isu sosial yang ada di masyarakat akhir-akhir ini tu menurut gw keren banget sih.Empat karakter utama di film ini keliatan bersinar semua. Storyline dari…",4
Reviews ofAgak Laen2024,Anonymous,"""aku percaya selama kau ada niat, kerjamu halal, kerjamu juga yang rajin, pasti Tuhan Yesus buka jalan"" 🤍",4
Reviews ofAgak Laen2024,Anonymous,This circle accidentally fcked up funny,3.5
Reviews ofAgak Laen2024,Anonymous,"jokesnya biasa aja sih, di bilang lucu ya ga terlalu tapi di bilang garing juga engga",2.5
Reviews ofAgak Laen2024,Anonymous,"It was alright, not funny enough though. The story’s okay and the characters are decent.",2
Reviews ofAgak Laen2024,Anonymous,8.5/10,4.5
Reviews ofAgak Laen2024,Anonymous,jokesnya lucu banget wkwkw!,5
Reviews ofAgak Laen2024,Anonymous,Agak brengsek jadi 3.000 undangan,3
Reviews ofAgak Laen2024,Anonymous,“TERLALU DINGIN”,3.5
Reviews ofAgak Laen2024,Anonymous,agak laen memang,3
Reviews ofAgak Laen2024,Anonymous,Ini yang sampe ke Amerika🤩,4
Reviews ofAgak Laen2024,Anonymous,"loses steam halfway through but very sweet overall. I had a fun time and thought the lead four actors were great, Oki’s storyline actually made me get a tiny bit teary-eyed which I wasn’t expecting.bring back bloopers at the end of movies!! why did we ever stop that as a society",3.5
Reviews ofAgak Laen2024,Anonymous,Berjaya bikin ngakak!,4
Reviews ofAgak Laen2024,Anonymous,Lucu sekali,3.5
Reviews ofAgak Laen2024,Anonymous,lucu cokkk 😭😭😭,5
Reviews ofAgak Laen2024,Anonymous,"BAGUS BANGET, FILM YG GAAKAN NYESEL DITONTONaku 3 kali beli tiket film ini saking jokesnya ga expired ditonton berkali2mungkin juga karena aku relate sebagai orang yang akrab dengan kultur sumatra utaradan juga ada hal2 yang sadar tidak sadar menyentil beberapa hal2 yg biasa terjadi di kehidupan sehari2great job muhadkly acho",5
Reviews ofAgak Laen2024,Anonymous,hollywood could never,3
Reviews ofAgak Laen2024,Anonymous,"Lucu banget woy ini film hahahhaaa, kirain beneran film horror ternyata comedy. Kacau film ini menghibur banget.",3
Reviews ofAgak Laen2024,Anonymous,Lucu lucu lucu,4.5
Reviews ofAgak Laen2024,Anonymous,"tried too hard 😬not funny 😅cringe af🤦‍♀️acting? yeah, nah wkwk. not ma vibe 🙃",0.5
Reviews ofAgak Laen2024,Anonymous,"jujur yah, UNEXPECTEDLY GOOD hehe. maaf kalo udah ngasi stereotip duluan",4
Reviews ofAgak Laen2024,Anonymous,really good movie for a comedy👻,5
Reviews ofAgak Laen2024,Anonymous,it’s so sad and funny,4
Reviews ofAgak Laen2024,Anonymous,"film horor/komedi yang bikin aku ngaceng (ngakak kenceng) itu ya ini, emang nih film agak laen.",4.5
Reviews ofAgak Laen2024,Anonymous,salah satu film komedi indonesia terbaik sejauh ini menurut saya,5
Reviews ofAgak Laen2024,Anonymous,"agak Laen cukup menghibur, tapi nggak sampai yang istimewa. ada momen lucu, tapi ada juga yang terasa dipaksakan. ceritanya simpel, tapi eksekusinya agak lambat di beberapa bagian. cocok buat yang suka horor komedi ringan, tapi kalau cari sesuatu yang fresh, mungkin bakal terasa biasa aja.",3
Reviews ofAgak Laen2024,Anonymous,Overrated and overhyped,2.5
Reviews ofAgak Laen2024,Anonymous,"Muhadkly Acho totalitas dalam project film ini, cuma untuk endorse terlalu terang terangan, kurang natural. ada juga beberapa jokes yang miss menurutku.",3.5
Reviews ofAgak Laen2024,Anonymous,"agak laen kamu, agak laen bapakmu, agaklaenkamu sekeluarga",3.5
Reviews ofAgak Laen2024,Anonymous,FUNNY N DUMP,5
Reviews ofAgak Laen2024,Anonymous,"comedy-nya seruuuuu, aksen bataknya juga dapet banget. mereka ini cuma kurang satu aja, kurang mikir",3.5
Reviews ofAgak Laen2024,Anonymous,"March around the world 2025: Indonesia 🇮🇩Agak Laen,Indonesia's second highest-grossing film, is categorized as comedy/horror. But don't expect to be frightened as it’s definitely more of a goofy comedy than an horror film.And while it's quite funny, it's also a little bit too long (almost 2h), especially at the beginning.But overall, I had a good time! And the best part of the movie is the chemistry between the four lead actors who all have effortless comedic timing.Anti-Criterion Challenge 2025: #20. Horror made in Indonesia by an Indonesian director",3
Reviews ofAgak Laen2024,Anonymous,7.5/10,3
Reviews ofAgak Laen2024,Anonymous,"sesuai judul, ini agak laen",4.5
Reviews ofAgak Laen2024,Anonymous,“setan e batak cok”,3.5
